contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
1044958172,1044958172_1_924,1056656038,BGC0001823,1,924,,False,
1044958172,1044958172_1544_2956,2688139191,BGC0001823,1544,2956,,False,
1044958172,1044958172_3030_4310,2526222475,BGC0001823,3030,4310,,False,
1044958172,1044958172_4325_5209,123667903,BGC0001823,4325,5209,['SAM-dependent methyltransferase'],True,NRP__Polyketide
1044958172,1044958172_5414_6085,1012548456,BGC0001823,5414,6085,['Crp/Fnr/Fnr family transcriptional regulator'],True,NRP__Polyketide
1044958172,1044958172_6228_6800,499673789,BGC0001823,6228,6800,['YdeI-like protein'],True,NRP__Polyketide
1044958172,1044958172_6814_7587,3406918667,BGC0001823,6814,7587,['phosphopantetheinyl transferase'],True,NRP__Polyketide
1044958172,1044958172_7776_9005,3871709913,BGC0001823,7776,9005,['HMG-CoA synthase'],True,NRP__Polyketide
1044958172,1044958172_9005_9802,526234323,BGC0001823,9005,9802,['enoyl-CoA hydratase'],True,NRP__Polyketide
1044958172,1044958172_9807_10679,3837508125,BGC0001823,9807,10679,['acyltransferase'],True,NRP__Polyketide
1044958172,1044958172_10772_17185,1071991935,BGC0001823,10772,17185,['type I polyketide synthase'],True,NRP__Polyketide
1044958172,1044958172_17465_19030,599852535,BGC0001823,17465,19030,['antibiotic efflux protein'],True,NRP__Polyketide
1044958172,1044958172_19115_19975,1449316898,BGC0001823,19115,19975,['hypothetical protein'],True,NRP__Polyketide
1044958172,1044958172_19980_22301,3664676103,BGC0001823,19980,22301,['acyltransferase/oxidoreductase'],True,NRP__Polyketide
1044958172,1044958172_22406_23314,480655779,BGC0001823,22406,23314,['hypothetical protein'],True,NRP__Polyketide
1044958172,1044958172_23396_23761,2476410325,BGC0001823,23396,23761,['glyoxalase/bleomycin resistance protein'],True,NRP__Polyketide
1044958172,1044958172_23928_24638,3097363495,BGC0001823,23928,24638,['N-acetylglucosaminyl deacetylase'],True,NRP__Polyketide
1044958172,1044958172_24698_25447,2761977435,BGC0001823,24698,25447,['methyltransferase'],True,NRP__Polyketide
1044958172,1044958172_25444_26778,2695818195,BGC0001823,25444,26778,['putative alpha/beta hydrolase'],True,NRP__Polyketide
1044958172,1044958172_26906_27157,499252882,BGC0001823,26906,27157,['peptidyl carrier protein'],True,NRP__Polyketide
1044958172,1044958172_27162_28760,3869518521,BGC0001823,27162,28760,['adenylation protein'],True,NRP__Polyketide
1044958172,1044958172_28854_51185,2575258143,BGC0001823,28854,51185,['type I polyketide synthase'],True,NRP__Polyketide
1044958172,1044958172_51182_52426,2405069510,BGC0001823,51182,52426,['HMG-CoA synthase'],True,NRP__Polyketide
1044958172,1044958172_52449_52694,53164082,BGC0001823,52449,52694,['acyl carrier protein'],True,NRP__Polyketide
1044958172,1044958172_52691_53917,1636982942,BGC0001823,52691,53917,['beta-ketoacyl-ACP synthase'],True,NRP__Polyketide
1044958172,1044958172_53883_54638,897780894,BGC0001823,53883,54638,['type II thioesterase'],True,NRP__Polyketide
1044958172,1044958172_54635_61369,1422490116,BGC0001823,54635,61369,['hybrid nonribosomal peptide synthetase/type I polyketide synthase'],True,NRP__Polyketide
1044958172,1044958172_61366_61791,181534625,BGC0001823,61366,61791,['truncated hemoglobin'],True,NRP__Polyketide
1044958172,1044958172_61973_63199,174692679,BGC0001823,61973,63199,['cytochrome P450 oxygenase'],True,NRP__Polyketide
1044958172,1044958172_63196_63420,4094050003,BGC0001823,63196,63420,['ferredoxin'],True,NRP__Polyketide
1044958172,1044958172_63479_64837,1040471555,BGC0001823,63479,64837,['crotonyl-CoA carboxylase/reductase'],True,NRP__Polyketide
1044958172,1044958172_64834_65826,2431108661,BGC0001823,64834,65826,['ketoacyl-acyl carrier protein synthase III'],True,NRP__Polyketide
1044958172,1044958172_65823_66707,1038493426,BGC0001823,65823,66707,['3-hydroxyacyl-CoA dehydrogenase'],True,NRP__Polyketide
1044958172,1044958172_66739_68166,4237632603,BGC0001823,66739,68166,['peptidase M1'],True,NRP__Polyketide
1044958172,1044958172_68213_72133,2137370812,BGC0001823,68213,72133,,False,
1044958172,1044958172_72379_73131,347585751,BGC0001823,72379,73131,,False,
1044958172,1044958172_73217_74140,218886320,BGC0001823,73217,74140,,False,
1044958172,1044958172_74205_74837,216660946,BGC0001823,74205,74837,,False,
1044958172,1044958172_74989_76440,4227247293,BGC0001823,74989,76440,,False,
