contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2123499635,2123499635_1_1215,569509275,BGC0002430,1,1215,['calcineurin'],True,NRP__Saccharide
2123499635,2123499635_1208_2257,3606848522,BGC0002430,1208,2257,['alcohol dehydrogenase'],True,NRP__Saccharide
2123499635,2123499635_2422_3342,4063828907,BGC0002430,2422,3342,['hypothetical protein'],True,NRP__Saccharide
2123499635,2123499635_3342_4274,3297059056,BGC0002430,3342,4274,['Ku protein'],True,NRP__Saccharide
2123499635,2123499635_4366_4692,2155974492,BGC0002430,4366,4692,['hypothetical protein'],True,NRP__Saccharide
2123499635,2123499635_4759_5772,2588515274,BGC0002430,4759,5772,['SDR family oxidoreductase'],True,NRP__Saccharide
2123499635,2123499635_5833_7017,3696248258,BGC0002430,5833,7017,['Zn-dependent alcohol dehydrogenase'],True,NRP__Saccharide
2123499635,2123499635_7341_7514,1393361265,BGC0002430,7341,7514,['CsbD family protein'],True,NRP__Saccharide
2123499635,2123499635_7668_8651,3260234127,BGC0002430,7668,8651,['hypothetical protein'],True,NRP__Saccharide
2123499635,2123499635_8815_9786,1327928141,BGC0002430,8815,9786,['SDR family oxidoreductase'],True,NRP__Saccharide
2123499635,2123499635_10116_11279,4204468725,BGC0002430,10116,11279,['acyl-CoA dehydrogenase'],True,NRP__Saccharide
2123499635,2123499635_11283_12209,1678621732,BGC0002430,11283,12209,['hypothetical protein'],True,NRP__Saccharide
2123499635,2123499635_12206_13240,2538628097,BGC0002430,12206,13240,['isocitrate/isopropylmalate dehydrogenase family protein'],True,NRP__Saccharide
2123499635,2123499635_13256_13861,1041007684,BGC0002430,13256,13861,['3-isopropylmalate dehydratase small subunit'],True,NRP__Saccharide
2123499635,2123499635_13914_15308,751439779,BGC0002430,13914,15308,['3-isopropylmalate dehydratase large subunit'],True,NRP__Saccharide
2123499635,2123499635_15305_16489,3892151504,BGC0002430,15305,16489,['pyruvate carboxyltransferase'],True,NRP__Saccharide
2123499635,2123499635_16730_17785,2127846895,BGC0002430,16730,17785,['glycosyltransferase'],True,NRP__Saccharide
2123499635,2123499635_17994_18896,1163377693,BGC0002430,17994,18896,['winged helix-turn-helix transcriptional regulator'],True,NRP__Saccharide
2123499635,2123499635_18981_20795,1811310952,BGC0002430,18981,20795,['fatty acyl-AMP ligase'],True,NRP__Saccharide
2123499635,2123499635_20792_22498,938775215,BGC0002430,20792,22498,['acyl-CoA dehydrogenase'],True,NRP__Saccharide
2123499635,2123499635_22495_24240,310090968,BGC0002430,22495,24240,['acyl-CoA dehydrogenase'],True,NRP__Saccharide
2123499635,2123499635_24305_24568,3577986515,BGC0002430,24305,24568,['hypothetical protein'],True,NRP__Saccharide
2123499635,2123499635_24626_49969,4112703403,BGC0002430,24626,49969,['non-ribosomal peptide synthetase'],True,NRP__Saccharide
2123499635,2123499635_50071_51357,1570972351,BGC0002430,50071,51357,['cytochrome P450'],True,NRP__Saccharide
2123499635,2123499635_51382_52338,1029904438,BGC0002430,51382,52338,['TauD/TfdA family dioxygenase'],True,NRP__Saccharide
2123499635,2123499635_52370_53551,3789582777,BGC0002430,52370,53551,['pyridoxal phosphate-dependent aminotransferase'],True,NRP__Saccharide
2123499635,2123499635_53560_55482,665093891,BGC0002430,53560,55482,['ABC transporter ATP-binding protein'],True,NRP__Saccharide
2123499635,2123499635_55479_56933,1034606353,BGC0002430,55479,56933,['hypothetical protein'],True,NRP__Saccharide
2123499635,2123499635_56954_57613,2798529254,BGC0002430,56954,57613,['response regulator transcription factor'],True,NRP__Saccharide
