contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
2735973969,2735973969_3_689,1092894887,BGC0000652,3,689,['NapT5'],True,Terpene
2735973969,2735973969_682_1782,941219571,BGC0000652,682,1782,,True,Terpene
2735973969,2735973969_2357_2560,3872980456,BGC0000652,2357,2560,,True,Terpene
2735973969,2735973969_2557_3186,4195551717,BGC0000652,2557,3186,['NapU1'],True,Terpene
2735973969,2735973969_4315_5382,2367786226,BGC0000652,4315,5382,['NapB1'],True,Terpene
2735973969,2735973969_5453_6010,178473540,BGC0000652,5453,6010,['NapB2'],True,Terpene
2735973969,2735973969_6042_7181,2381956164,BGC0000652,6042,7181,['NapB3'],True,Terpene
2735973969,2735973969_7368_8957,2115678120,BGC0000652,7368,8957,['truncated NapB4'],True,Terpene
2735973969,2735973969_9052_10125,4061723714,BGC0000652,9052,10125,['NapT7'],True,Terpene
2735973969,2735973969_10433_11239,1662072286,BGC0000652,10433,11239,['NapR1'],True,Terpene
2735973969,2735973969_11340_12611,3629872459,BGC0000652,11340,12611,['NapR2'],True,Terpene
2735973969,2735973969_12740_13411,2640354386,BGC0000652,12740,13411,['NapR3'],True,Terpene
2735973969,2735973969_13560_15143,304317983,BGC0000652,13560,15143,['NapH1'],True,Terpene
2735973969,2735973969_15698_16318,622494337,BGC0000652,15698,16318,['NapU3'],True,Terpene
2735973969,2735973969_16667_17944,256191041,BGC0000652,16667,17944,['NapH2'],True,Terpene
2735973969,2735973969_19734_20642,1688353749,BGC0000652,19734,20642,['NapT8'],True,Terpene
2735973969,2735973969_20853_21836,1353160110,BGC0000652,20853,21836,['NapT9'],True,Terpene
2735973969,2735973969_21833_23269,690816630,BGC0000652,21833,23269,['NapH3'],True,Terpene
2735973969,2735973969_23449_25020,1493597311,BGC0000652,23449,25020,,True,Terpene
2735973969,2735973969_25465_26538,3824084217,BGC0000652,25465,26538,['NapB5'],True,Terpene
2735973969,2735973969_26868_28262,2766727409,BGC0000652,26868,28262,['NapR4'],True,Terpene
2735973969,2735973969_28728_30335,4821384,BGC0000652,28728,30335,['NapR5'],True,Terpene
2735973969,2735973969_30663_32270,2297184098,BGC0000652,30663,32270,['NapR6'],True,Terpene
2735973969,2735973969_32267_32926,780565307,BGC0000652,32267,32926,['NapR7'],True,Terpene
2735973969,2735973969_33742_33945,2293913029,BGC0000652,33742,33945,,True,Terpene
2735973969,2735973969_34017_34952,1887959926,BGC0000652,34017,34952,['NapR8'],True,Terpene
2735973969,2735973969_35111_35764,2158866453,BGC0000652,35111,35764,['NapU4'],True,Terpene
2735973969,2735973969_35848_36153,3247998845,BGC0000652,35848,36153,,False,
